variant,input,threads,score,time_sec,run
task_paral,mapb8_8a.txt,32,490,0.00645831,2
task_paral,mapb8_8a.txt,32,490,0.00634935,3
task_paral,mapb8_8a.txt,32,490,0.00632004,4
task_paral,mapb8_8a.txt,32,490,0.00624098,5
task_paral,mapb8_8a.txt,32,490,0.00662436,6
task_paral,mapb8_8a.txt,32,490,0.00693361,7
task_paral,mapb8_8a.txt,32,490,0.00629776,8
task_paral,mapb8_8a.txt,32,490,0.00650701,9
task_paral,mapb8_8a.txt,32,490,0.00652466,10
task_paral,mapb8_8a.txt,48,490,0.00779095,1
task_paral,mapb8_8a.txt,48,490,0.0285298,2
task_paral,mapb8_8a.txt,48,490,0.0078057,3
task_paral,mapb8_8a.txt,48,490,0.00761296,4
task_paral,mapb8_8a.txt,48,490,0.00768624,5
task_paral,mapb8_8a.txt,48,490,0.00746084,6
task_paral,mapb8_8a.txt,48,490,0.00791582,7
task_paral,mapb8_8a.txt,48,490,0.00761026,8
task_paral,mapb8_8a.txt,48,490,0.00765958,9
task_paral,mapb8_8a.txt,48,490,0.00730627,10
task_paral,mapb8_8b.txt,1,490,0.000548733,1
task_paral,mapb8_8b.txt,1,490,0.000543783,2
task_paral,mapb8_8b.txt,1,490,0.000550023,3
task_paral,mapb8_8b.txt,1,490,0.000548203,4
task_paral,mapb8_8b.txt,1,490,0.000546252,5
task_paral,mapb8_8b.txt,1,490,0.000544663,6
task_paral,mapb8_8b.txt,1,490,0.000549452,7
task_paral,mapb8_8b.txt,1,490,0.000543263,8
task_paral,mapb8_8b.txt,1,490,0.000548362,9
task_paral,mapb8_8b.txt,1,490,0.000549152,10
task_paral,mapb8_8b.txt,2,490,0.000780084,1
task_paral,mapb8_8b.txt,2,490,0.000848064,2
task_paral,mapb8_8b.txt,2,490,0.000868494,3
task_paral,mapb8_8b.txt,2,490,0.000856144,4
task_paral,mapb8_8b.txt,2,490,0.000864874,5
task_paral,mapb8_8b.txt,2,490,0.000843874,6
task_paral,mapb8_8b.txt,2,490,0.000869244,7
task_paral,mapb8_8b.txt,2,490,0.000862084,8
task_paral,mapb8_8b.txt,2,490,0.000862475,9
task_paral,mapb8_8b.txt,2,490,0.000880135,10
task_paral,mapb8_8b.txt,4,490,0.000999645,1
task_paral,mapb8_8b.txt,4,490,0.00102009,2
task_paral,mapb8_8b.txt,4,490,0.000984024,3
task_paral,mapb8_8b.txt,4,490,0.00102497,4
task_paral,mapb8_8b.txt,4,490,0.00100176,5
task_paral,mapb8_8b.txt,4,490,0.000984764,6
task_paral,mapb8_8b.txt,4,490,0.000985815,7
task_paral,mapb8_8b.txt,4,490,0.00103019,8
task_paral,mapb8_8b.txt,4,490,0.00105706,9
task_paral,mapb8_8b.txt,4,490,0.000998345,10
task_paral,mapb8_8b.txt,12,490,0.00155857,1
task_paral,mapb8_8b.txt,12,490,0.00161019,2
task_paral,mapb8_8b.txt,12,490,0.00156552,3
task_paral,mapb8_8b.txt,12,490,0.00156446,4
task_paral,mapb8_8b.txt,12,490,0.00160924,5
task_paral,mapb8_8b.txt,12,490,0.00159928,6
task_paral,mapb8_8b.txt,12,490,0.00154887,7
task_paral,mapb8_8b.txt,12,490,0.00157236,8
task_paral,mapb8_8b.txt,12,490,0.00157558,9
task_paral,mapb8_8b.txt,12,490,0.0015805,10
task_paral,mapb8_8b.txt,16,490,0.00189714,1
task_paral,mapb8_8b.txt,16,490,0.00181006,2
task_paral,mapb8_8b.txt,16,490,0.00186131,3
task_paral,mapb8_8b.txt,16,490,0.00181107,4
task_paral,mapb8_8b.txt,16,490,0.00185699,5
task_paral,mapb8_8b.txt,16,490,0.00183419,6
task_paral,mapb8_8b.txt,16,490,0.00186305,7
task_paral,mapb8_8b.txt,16,490,0.00177586,8
task_paral,mapb8_8b.txt,16,490,0.00180082,9
task_paral,mapb8_8b.txt,16,490,0.00188222,10
task_paral,mapb8_8b.txt,32,490,0.00296518,1
task_paral,mapb8_8b.txt,32,490,0.00285962,2
task_paral,mapb8_8b.txt,32,490,0.00282477,3
task_paral,mapb8_8b.txt,32,490,0.00286608,4
task_paral,mapb8_8b.txt,32,490,0.002936,5
task_paral,mapb8_8b.txt,32,490,0.00290209,6
task_paral,mapb8_8b.txt,32,490,0.00285158,7
task_paral,mapb8_8b.txt,32,490,0.00301987,8
task_paral,mapb8_8b.txt,32,490,0.00290243,9
task_paral,mapb8_8b.txt,32,490,0.00289421,10
task_paral,mapb8_8b.txt,48,490,0.0334665,1
task_paral,mapb8_8b.txt,48,490,0.00400887,2
task_paral,mapb8_8b.txt,48,490,0.0039047,3
task_paral,mapb8_8b.txt,48,490,0.0040943,4
task_paral,mapb8_8b.txt,48,490,0.00387449,5
task_paral,mapb8_8b.txt,48,490,0.00402222,6
task_paral,mapb8_8b.txt,48,490,0.00381353,7
task_paral,mapb8_8b.txt,48,490,0.00412625,8
task_paral,mapb8_8b.txt,48,490,0.00409798,9
task_paral,mapb8_8b.txt,48,490,0.0039194,10
task_paral,mapb9_9a.txt,1,509,0.06454,1
task_paral,mapb9_9a.txt,1,509,0.0645992,2
task_paral,mapb9_9a.txt,1,509,0.0648104,3
task_paral,mapb9_9a.txt,1,509,0.0647669,4
task_paral,mapb9_9a.txt,1,509,0.0646456,5
task_paral,mapb9_9a.txt,1,509,0.0645626,6
task_paral,mapb9_9a.txt,1,509,0.0641996,7
task_paral,mapb9_9a.txt,1,509,0.0650802,8
task_paral,mapb9_9a.txt,1,509,0.0645569,9
task_paral,mapb9_9a.txt,1,509,0.0644973,10
task_paral,mapb9_9a.txt,2,509,0.0950449,1
task_paral,mapb9_9a.txt,2,509,0.0966352,2
task_paral,mapb9_9a.txt,2,509,0.100941,3
task_paral,mapb9_9a.txt,2,509,0.095271,4
task_paral,mapb9_9a.txt,2,509,0.103273,5
task_paral,mapb9_9a.txt,2,509,0.0990248,6
task_paral,mapb9_9a.txt,2,509,0.0951563,7
task_paral,mapb9_9a.txt,2,509,0.0948788,8
task_paral,mapb9_9a.txt,2,509,0.0949388,9
task_paral,mapb9_9a.txt,2,509,0.0988162,10
task_paral,mapb9_9a.txt,4,509,0.062658,1
task_paral,mapb9_9a.txt,4,509,0.0631034,2
task_paral,mapb9_9a.txt,4,509,0.0616253,3
task_paral,mapb9_9a.txt,4,509,0.0627975,4
task_paral,mapb9_9a.txt,4,509,0.0629669,5
task_paral,mapb9_9a.txt,4,509,0.0609077,6
task_paral,mapb9_9a.txt,4,509,0.0633936,7
task_paral,mapb9_9a.txt,4,509,0.0619709,8
task_paral,mapb9_9a.txt,4,509,0.0637012,9
task_paral,mapb9_9a.txt,4,509,0.0628948,10
task_paral,mapb9_9a.txt,12,509,0.0684722,1
task_paral,mapb9_9a.txt,12,509,0.0681554,2
task_paral,mapb9_9a.txt,12,509,0.069805,3
task_paral,mapb9_9a.txt,12,509,0.067758,4
task_paral,mapb9_9a.txt,12,509,0.0671969,5
task_paral,mapb9_9a.txt,12,509,0.0671823,6
task_paral,mapb9_9a.txt,12,509,0.0676136,7
task_paral,mapb9_9a.txt,12,509,0.0675669,8
task_paral,mapb9_9a.txt,12,509,0.069118,9
task_paral,mapb9_9a.txt,12,509,0.0683731,10
task_paral,mapb9_9a.txt,16,509,0.0711771,1
task_paral,mapb9_9a.txt,16,509,0.0674132,2
task_paral,mapb9_9a.txt,16,509,0.0705544,3
task_paral,mapb9_9a.txt,16,509,0.0713066,4
task_paral,mapb9_9a.txt,16,509,0.069083,5
task_paral,mapb9_9a.txt,16,509,0.0696704,6
task_paral,mapb9_9a.txt,16,509,0.0659947,7
task_paral,mapb9_9a.txt,16,509,0.0698131,8
task_paral,mapb9_9a.txt,16,509,0.0686852,9
task_paral,mapb9_9a.txt,16,509,0.0687374,10
task_paral,mapb9_9a.txt,32,509,0.0691652,1
task_paral,mapb9_9a.txt,32,509,0.0689661,2
task_paral,mapb9_9a.txt,32,509,0.0681927,3
task_paral,mapb9_9a.txt,32,509,0.0664225,4
task_paral,mapb9_9a.txt,32,509,0.0667892,5
task_paral,mapb9_9a.txt,32,509,0.0697428,6
task_paral,mapb9_9a.txt,32,509,0.0659574,7
task_paral,mapb9_9a.txt,32,509,0.0673507,8
task_paral,mapb9_9a.txt,32,509,0.0677642,9
task_paral,mapb9_9a.txt,32,509,0.0698221,10
task_paral,mapb9_9a.txt,48,509,0.104735,1
task_paral,mapb9_9a.txt,48,509,0.0711677,2
task_paral,mapb9_9a.txt,48,509,0.0669617,3
task_paral,mapb9_9a.txt,48,509,0.0717702,4
task_paral,mapb9_9a.txt,48,509,0.072314,5
task_paral,mapb9_9a.txt,48,509,0.0723751,6
task_paral,mapb9_9a.txt,48,509,0.0739826,7
task_paral,mapb9_9a.txt,48,509,0.0680871,8
task_paral,mapb9_9a.txt,48,509,0.0732506,9
task_paral,mapb9_9a.txt,48,509,0.0720999,10
task_paral,mapb9_9b.txt,1,439,0.413953,1
