variant,input,threads,score,time_sec,run
task_paral,mapb8_8b.txt,48,490,0.00397927,2
task_paral,mapb8_8b.txt,48,490,0.00391189,3
task_paral,mapb9_9a.txt,1,509,0.0647753,1
task_paral,mapb9_9a.txt,1,509,0.0647184,2
task_paral,mapb9_9a.txt,1,509,0.0644848,3
task_paral,mapb9_9a.txt,2,509,0.0960005,1
task_paral,mapb9_9a.txt,2,509,0.0945035,2
task_paral,mapb9_9a.txt,2,509,0.0962136,3
task_paral,mapb9_9a.txt,4,509,0.0612079,1
task_paral,mapb9_9a.txt,4,509,0.0625545,2
task_paral,mapb9_9a.txt,4,509,0.06103,3
task_paral,mapb9_9a.txt,12,509,0.0698834,1
task_paral,mapb9_9a.txt,12,509,0.0653223,2
task_paral,mapb9_9a.txt,12,509,0.0705935,3
task_paral,mapb9_9a.txt,16,509,0.0671742,1
task_paral,mapb9_9a.txt,16,509,0.0687973,2
task_paral,mapb9_9a.txt,16,509,0.06748,3
task_paral,mapb9_9a.txt,32,509,0.0700636,1
task_paral,mapb9_9a.txt,32,509,0.0652758,2
task_paral,mapb9_9a.txt,32,509,0.0649886,3
task_paral,mapb9_9a.txt,48,509,0.0653613,1
task_paral,mapb9_9a.txt,48,509,0.0671552,2
task_paral,mapb9_9a.txt,48,509,0.0651979,3
task_paral,mapb9_9b.txt,1,439,0.414843,1
task_paral,mapb9_9b.txt,1,439,0.414876,2
task_paral,mapb9_9b.txt,1,439,0.416168,3
task_paral,mapb9_9b.txt,2,439,0.453206,1
task_paral,mapb9_9b.txt,2,439,0.451501,2
task_paral,mapb9_9b.txt,2,439,0.449995,3
task_paral,mapb9_9b.txt,4,439,0.303227,1
task_paral,mapb9_9b.txt,4,439,0.304361,2
task_paral,mapb9_9b.txt,4,439,0.305941,3
task_paral,mapb9_9b.txt,12,439,0.315898,1
task_paral,mapb9_9b.txt,12,439,0.309158,2
task_paral,mapb9_9b.txt,12,439,0.314394,3
task_paral,mapb9_9b.txt,16,439,0.304066,1
task_paral,mapb9_9b.txt,16,439,0.322624,2
task_paral,mapb9_9b.txt,16,439,0.316912,3
task_paral,mapb9_9b.txt,32,439,0.333418,1
task_paral,mapb9_9b.txt,32,439,0.361534,2
task_paral,mapb9_9b.txt,32,439,0.360464,3
task_paral,mapb9_9b.txt,48,439,0.349189,1
task_paral,mapb9_9b.txt,48,439,0.39073,2
task_paral,mapb9_9b.txt,48,439,0.396235,3
data_paral,mapb10_10a.txt,1,580,12.8087,1
data_paral,mapb10_10a.txt,1,580,12.8105,2
data_paral,mapb10_10a.txt,1,580,12.8277,3
data_paral,mapb10_10a.txt,2,580,10.4924,1
data_paral,mapb10_10a.txt,2,580,10.7493,2
data_paral,mapb10_10a.txt,2,580,10.6375,3
data_paral,mapb10_10a.txt,4,580,9.00725,1
data_paral,mapb10_10a.txt,4,580,9.08294,2
data_paral,mapb10_10a.txt,4,580,9.00558,3
